id/sequence,Year,Month,Day,file_name/smaple id,sample_type,species,plant_number,chemistry_number,associated_blank,associated_RTI,
370,2021,2,19,ENE_940,Sample,Inga cf. burgonii,325,cG031,BLK_36,RTI_68,
371,2021,2,19,RTI_69,Standard,Standard,STD_1,STD_1,BLK_36,RTI_69,
372,2021,2,19,ENE_951,Sample,Miconia morfo 3,63,cG011,BLK_36,RTI_69,
373,2021,2,19,ENE_952,Sample,Piper morfo 2,14,cG004,BLK_36,RTI_69,
374,2021,2,19,ENE_934,Sample,"Piper ""pelta""",311,cG026,BLK_36,RTI_69,
375,2021,2,19,ENE_953,Sample,Piper morfo 1,4,cG002,BLK_36,RTI_69,
376,2021,2,19,ENE_954,Sample,Ficus morfo1,8,cG012,BLK_36,RTI_69,
377,2021,2,19,RTI_70,Standard,Standard,STD_1,STD_1,BLK_36,RTI_70,
378,2021,2,19,BLK_37,Blank,Blank,BLK_1,BLK_1,BLK_37,RTI_70,
379,2021,2,19,ENE_955,Sample,Piper morfo 1,4,cG003,BLK_37,RTI_70,
380,2021,2,19,ENE_957,Sample,Piper morfo 2,14,cG005,BLK_37,RTI_70,
381,2021,2,19,ENE_1018,Sample,Piper ob-big2,1177,cG115,BLK_37,RTI_70,
382,2021,2,19,ENE_1078,Sample,"Piper ""mini""",1256,cG133,BLK_37,RTI_70,
383,2021,2,19,ENE_1129,Sample,"Psychotria ""larguita""",1687,cG174,BLK_37,RTI_70,
384,2021,2,19,RTI_71,Standard,Standard,STD_1,STD_1,BLK_37,RTI_71,
385,2021,2,19,ENE_1140,Sample,"Miconia ""pucho""",1776,cG203,BLK_37,RTI_71,
386,2021,2,19,ENE_1145,Sample,"Piper ""lanceolada""",1878,cG199,BLK_37,RTI_71,
387,2021,2,19,ENE_1147,Sample,"Inga ""2 par peluda""",1933,cG202,BLK_37,RTI_71,
388,2021,2,19,ENE_1163,Sample,"Palicourea ""gorda""",1647,cG161,BLK_37,RTI_71,
389,2021,2,19,ENE_1170,Sample,Inga aff. poeppigiana,1989,cG204,BLK_37,RTI_71,
390,2021,2,19,RTI_72,Standard,Standard,STD_1,STD_1,BLK_37,RTI_72,
391,2021,2,19,BLK_38,Blank,Blank,BLK_1,BLK_1,BLK_38,RTI_72,
392,2021,2,19,ENE_1184,Sample,Miconia strigosita,2043,cG212,BLK_38,RTI_72,
393,2021,2,19,ENE_902,Sample,"Miconia ""semi_cordi""",686,cG074,BLK_38,RTI_72,
394,2021,2,19,ENE_1213,Sample,"Piper augustum ""polos""",2030,cG222,BLK_38,RTI_72,
395,2021,2,19,ENE_1223,Sample,Piper cf aduncunum,2765,cG282,BLK_38,RTI_72,
396,2021,2,19,ENE_899,Sample,Miconia,1085,cG092,BLK_38,RTI_72,
397,2021,2,19,RTI_73,Standard,Standard,STD_1,STD_1,BLK_38,RTI_73,
398,2021,2,19,ENE_881,Sample,"Miconia ""pec-purpurea""",382,cG038,BLK_38,RTI_73,
399,2021,2,19,ENE_915,Sample,"Piper ""synamo""",306,cG022,BLK_38,RTI_73,
400,2021,2,19,ENE_880,Sample,"Miconia ""pelos-bulling""",386,cG039,BLK_38,RTI_73,
401,2021,2,19,ENE_914,Sample,"Ficus ""guia""",490,cG050,BLK_38,RTI_73,
402,2021,2,19,ENE_879,Sample,Inga cf. rusby,411,cG040,BLK_38,RTI_73,
403,2021,2,19,RTI_74,Standard,Standard,STD_1,STD_1,BLK_38,RTI_74,
404,2021,2,19,BLK_39,Blank,Blank,BLK_1,BLK_1,BLK_39,RTI_74,
405,2021,2,19,ENE_917,Sample,Piper aspero,303,cG020,BLK_39,RTI_74,
406,2021,2,19,ENE_875,Sample,Inga glomeriflora,460,cG044,BLK_39,RTI_74,
407,2021,2,19,ENE_886,Sample,"Miconia ""stipula_morada""",721,cG078,BLK_39,RTI_74,
408,2021,2,19,ENE_877,Sample,"Piper ""superbull""",448,cG042,BLK_39,RTI_74,
409,2021,2,19,ENE_913,Sample,"Miconia ""amarilla""",858,cG085,BLK_39,RTI_74,
410,2021,2,19,RTI_75,Standard,Standard,STD_1,STD_1,BLK_39,RTI_75,
411,2021,2,19,ENE_876,Sample,"Inga ""stipular""",449,cG043,BLK_39,RTI_75,
412,2021,2,19,ENE_882,Sample,Inga cf. cylindrica,609,cG061,BLK_39,RTI_75,
413,2021,2,19,ENE_909,Sample,"Miconia ""pubica""",720,cG077,BLK_39,RTI_75,
414,2021,2,19,ENE_873,Sample,"Miconia ""longipec""",476,cG046,BLK_39,RTI_75,
415,2021,2,19,ENE_912,Sample,"Miconia ""dielsi""",856,cG084,BLK_39,RTI_75,
416,2021,2,19,RTI_76,Standard,Standard,STD_1,STD_1,BLK_39,RTI_76,
417,2021,2,19,BLK_40,Blank,Blank,BLK_1,BLK_1,BLK_40,RTI_76,
418,2021,2,19,ENE_870,Sample,"Miconia ""redondita""",489,cG049,BLK_40,RTI_76,
419,2021,2,19,ENE_907,Sample,Inga pseudopoeppigiana,948,cG088,BLK_40,RTI_76,
420,2021,2,19,ENE_891,Sample,"Miconia ""blackeoides""",781,cG080,BLK_40,RTI_76,
421,2021,2,19,ENE_892,Sample,"Miconia ""sesil cordi""",794,cG081,BLK_40,RTI_76,
422,2021,2,19,ENE_890,Sample,"Miconia ""venamedia strigosa""",630,cG065,BLK_40,RTI_76,
423,2021,2,19,RTI_77,Standard,Standard,STD_1,STD_1,BLK_40,RTI_77,
424,2021,2,19,ENE_1255,Sample,Ficus guiansis,3258,CG315,BLK_40,RTI_77,
425,2021,2,19,ENE_1256,Sample,Inga cofufolia,3206,CG308,BLK_40,RTI_77,
426,2021,2,19,ENE_1257,Sample,Psycothria pubica,3092,CG305,BLK_40,RTI_77,
427,2021,2,19,ENE_1258,Sample,Piper peciolada,3090,CG304,BLK_40,RTI_77,
428,2021,2,19,ENE_1259,Sample,Piper margen ondulado,3061,CG298,BLK_40,RTI_77,
429,2021,2,19,RTI_78,Standard,Standard,STD_1,STD_1,BLK_40,RTI_78,
430,2021,2,19,BLK_41,Blank,Blank,BLK_1,BLK_1,BLK_41,RTI_78,
431,2021,2,19,ENE_1260,Sample,Piper azul,3053,CG292,BLK_41,RTI_78,
432,2021,2,19,ENE_1261,Sample,Miconia purpuracea,3129,CG310,BLK_41,RTI_78,
433,2021,2,19,ENE_1262,Sample,Piper aspero,3321,CG317,BLK_41,RTI_78,
434,2021,2,19,ENE_1263,Sample,Psycothria poeginia,3143,CG309,BLK_41,RTI_78,
435,2021,2,19,ENE_1264,Sample,Palicouria raquis purpura,3052,CG291,BLK_41,RTI_78,
436,2021,2,19,RTI_79,Standard,Standard,STD_1,STD_1,BLK_41,RTI_79,
437,2021,2,19,ENE_1265,Sample,Miconia pachakutik,3203,CG312,BLK_41,RTI_79,
438,2021,2,19,ENE_1266,Sample,Miconia peludita,3082,CG303,BLK_41,RTI_79,
439,2021,2,19,ENE_1267,Sample,Psycothria poepigiana,3074,CG300,BLK_41,RTI_79,
440,2021,2,19,ENE_1268,Sample,Palicouria pachakutik,3055,CG293,BLK_41,RTI_79,
441,2021,2,19,ENE_1269,Sample,Miconia simple,3132,CG307,BLK_41,RTI_79,
461,2021,2,19,BLK_44,Blank,Blank,BLK_1,BLK_1,BLK_44,RTI_79,
462,2021,3,11,RTI_84,Standard,Standard,STD_1,STD_1,BLK_45,RTI_84,
463,2021,3,11,RTI_85,Standard,Standard,STD_1,STD_1,BLK_45,RTI_85,
464,2021,3,11,BLK_45,Blank,Blank,BLK_1,BLK_1,BLK_45,RTI_85,
465,2021,3,11,ENE_1270,Sample,Piper oblicum,3058,CG295,BLK_45,RTI_85,
466,2021,3,11,ENE_1271,Sample,Inga ala aspera,3125,CG306,BLK_45,RTI_85,
467,2021,3,11,ENE_1272,Sample,Inga cf acrocefala,3065,CG299,BLK_45,RTI_85,
468,2021,3,11,ENE_1273,Sample,Miconia 3 paralela,3230,CG314,BLK_45,RTI_85,
469,2021,3,11,ENE_1274,Sample,Palicouria tipica,3204,CG311,BLK_45,RTI_85,
470,2021,3,11,RTI_86,Standard,Standard,STD_1,STD_1,BLK_45,RTI_86,
471,2021,3,11,ENE_1275,Sample,Psycothria cluster,3075,CG301,BLK_45,RTI_86,
472,2021,3,11,ENE_1276,Sample,Inga incognito,3051,CG290,BLK_45,RTI_86,
473,2021,3,11,ENE_1277,Sample,Miconia cafecita,3081,CG302,BLK_45,RTI_86,
474,2021,3,11,ENE_1278,Sample,Inga sp,3205,CG313,BLK_45,RTI_86,
475,2021,3,11,ENE_1279,Sample,Piper venanervia purpura,3094,CG294,BLK_45,RTI_86,
476,2021,3,11,RTI_87,Standard,Standard,STD_1,STD_1,BLK_45,RTI_87,
477,2021,3,11,BLK_46,Blank,Blank,BLK_1,BLK_1,BLK_46,RTI_87,
478,2021,3,11,ENE_1280,Sample,Miconia crasadentada,3059,CG296,BLK_46,RTI_87,
479,2021,3,11,ENE_1281,Sample,Piper aristada,3294,CG316,BLK_46,RTI_87,
480,2021,3,11,ENE_1282,Sample,Miconia sp1,3060,CG297,BLK_46,RTI_87,
481,2021,3,11,ENE_1890,Sample,Coussarea,48,CJG562,BLK_46,RTI_87,
482,2021,3,11,ENE_1891,Sample,"Tachigali_""estipular""",202,CJG563,BLK_46,RTI_87,
483,2021,3,11,RTI_88,Standard,Standard,STD_1,STD_1,BLK_46,RTI_88,
484,2021,3,11,ENE_1892,Sample,Matisia_bracteolosa,184,CJG564,BLK_46,RTI_88,
485,2021,3,11,ENE_1893,Sample,Theobroma_subincanum,40,CJG565,BLK_46,RTI_88,
486,2021,3,11,ENE_1894,Sample,Tapirira_guianensis,179,CJG566,BLK_46,RTI_88,
487,2021,3,11,ENE_1895,Sample,Apeiba_membranacea,35,CJG567,BLK_46,RTI_88,
488,2021,3,11,ENE_1896,Sample,Drypetes,100,CJG568,BLK_46,RTI_88,
489,2021,3,11,RTI_89,Standard,Standard,STD_1,STD_1,BLK_46,RTI_89,
490,2021,3,11,BLK_47,Blank,Blank,BLK_1,BLK_1,BLK_47,RTI_89,
491,2021,3,11,ENE_1897,Sample,Protium_sp1,34,CJG569,BLK_47,RTI_89,
492,2021,3,11,ENE_1898,Sample,Brosimum_utile,31,CJG570,BLK_47,RTI_89,
493,2021,3,11,ENE_1899,Sample,Pseudosenelfeldera_inclinata,42,CJG571,BLK_47,RTI_89,
494,2021,3,11,ENE_1900,Sample,Batocarpus,185,CJG572,BLK_47,RTI_89,
495,2021,3,11,ENE_1901,Sample,Minquartia_guianensis,255,CJG573,BLK_47,RTI_89,
496,2021,3,11,RTI_90,Standard,Standard,STD_1,STD_1,BLK_47,RTI_90,
497,2021,3,11,ENE_1902,Sample,"Faramea_""plastic""",37,CJG574,BLK_47,RTI_90,
498,2021,3,11,ENE_1903,Sample,"Miconia_""kampa""",170,CJG575,BLK_47,RTI_90,
499,2021,3,11,ENE_1904,Sample,Tetragastris_panamensis,28,CJG576,BLK_47,RTI_90,
500,2021,3,11,ENE_1905,Sample,Lozania,325,CJG577,BLK_47,RTI_90,
501,2021,3,11,ENE_1906,Sample,"Matisia_""Pub""",452,CJG578,BLK_47,RTI_90,
502,2021,3,11,RTI_91,Standard,Standard,STD_1,STD_1,BLK_47,RTI_91,
503,2021,3,11,BLK_48,Blank,Blank,BLK_1,BLK_1,BLK_48,RTI_91,
504,2021,3,11,ENE_1907,Sample,Eugenia,471,CJG579,BLK_48,RTI_91,
505,2021,3,11,ENE_1908,Sample,Micrandra_spruceana,205,CJG580,BLK_48,RTI_91,
506,2021,3,11,ENE_1909,Sample,No_name,459,CJG581,BLK_48,RTI_91,
507,2021,3,11,ENE_1910,Sample,Licania,47,CJG582,BLK_48,RTI_91,
508,2021,3,11,ENE_1911,Sample,Hevea _ guianensis,21,CJG583,BLK_48,RTI_91,
509,2021,3,11,RTI_92,Standard,Standard,STD_1,STD_1,BLK_48,RTI_92,
510,2021,3,11,ENE_1912,Sample,Micrandra_spuceana,27,CJG584,BLK_48,RTI_92,
511,2021,3,11,ENE_1913,Sample,Perebea_xanthochyma,177,CJG585,BLK_48,RTI_92,
512,2021,3,11,ENE_1914,Sample,"Aspidosperma_"" latex rojo""",94,CJG586,BLK_48,RTI_92,
513,2021,3,11,ENE_1915,Sample,Brosimum_guianense,30,CJG587,BLK_48,RTI_92,
514,2021,3,11,ENE_1916,Sample,Inga_sp1_suaveolens,1,CJG588,BLK_48,RTI_92,
515,2021,3,11,RTI_93,Standard,Standard,STD_1,STD_1,BLK_48,RTI_93,
516,2021,3,11,BLK_49,Blank,Blank,BLK_1,BLK_1,BLK_49,RTI_93,
517,2021,3,11,ENE_1917,Sample,Inga_umbratica,90,CJG589,BLK_49,RTI_93,
518,2021,3,11,ENE_1918,Sample,Stryphnodendron_porcatum,70,CJG590,BLK_49,RTI_93,
519,2021,3,11,ENE_1919,Sample,"Inga_""ala angosta""",64,CJG91,BLK_49,RTI_93,
520,2021,3,11,ENE_1920,Sample,Helicostylis_tomentosa,397,CJG592,BLK_49,RTI_93,
521,2021,3,11,ENE_1921,Sample,"Chrysophyllun _""lucent""",38,CJG593,BLK_49,RTI_93,
522,2021,3,11,RTI_94,Standard,Standard,STD_1,STD_1,BLK_49,RTI_94,
523,2021,3,11,ENE_1922,Sample,Grias_peruviana,20,CJG594,BLK_49,RTI_94,
524,2021,3,11,ENE_1923,Sample,Eschweilera_juruensis,39,CJG595,BLK_49,RTI_94,
525,2021,3,11,ENE_1924,Sample,"Eschweibra_""cori""",17,CJG596,BLK_49,RTI_94,
526,2021,3,11,ENE_1925,Sample,Rinioria,331,CJG597,BLK_49,RTI_94,
527,2021,3,11,ENE_1926,Sample,Pouteria_reticulata,86,CJG598,BLK_49,RTI_94,
528,2021,3,11,RTI_95,Standard,Standard,STD_1,STD_1,BLK_49,RTI_95,
529,2021,3,11,BLK_50,Blank,Blank,BLK_1,BLK_1,BLK_50,RTI_95,
530,2021,3,11,ENE_1927,Sample,Oxandra_xylopioides,18,CJG599,BLK_50,RTI_95,
531,2021,3,11,ENE_1928,Sample,Pseudopiptadenia_suaveolens,51,CJG600,BLK_50,RTI_95,
532,2021,3,11,ENE_1929,Sample,Pseudolmedia _laevigata,346,CJG601,BLK_50,RTI_95,
533,2021,3,11,ENE_1930,Sample,Sarcaulus,345,CJG602,BLK_50,RTI_95,
534,2021,3,11,ENE_1931,Sample,Eugenia_sin dato,362,CJG603,BLK_50,RTI_95,
535,2021,3,11,RTI_96,Standard,Standard,STD_1,STD_1,BLK_50,RTI_96,
536,2021,3,11,ENE_1932,Sample,Endlicheria_canescens,122,CJG604,BLK_50,RTI_96,
537,2021,3,11,ENE_1933,Sample,"Brownea_""lore""",446,CJG605,BLK_50,RTI_96,
538,2021,3,11,ENE_1934,Sample,Sterculia _colombiana,123,CJG606,BLK_50,RTI_96,
539,2021,3,11,ENE_1935,Sample,Pouteria_gracilis,324,CJG607,BLK_50,RTI_96,
540,2021,3,11,ENE_1936,Sample,"Eschweilera_""retic""",269,CJG608,BLK_50,RTI_96,
541,2021,3,11,ENE_1937,Sample,Couratari_guianensis,247,CJG609,BLK_50,RTI_96,
542,2021,3,11,RTI_97,Standard,Standard,STD_1,STD_1,BLK_50,RTI_97,
543,2021,3,11,BLK_51,Blank,Blank,BLK_1,BLK_1,BLK_51,RTI_97,
