name,nmol,charge,massdiff,oidscore,quasi,ips
[M-H-H2O-HCOOH]-,1,-1,-65.02332,74,0,0.75
[M-H-CH4]-,1,-1,-17.038576,75,0,0.75
[M-H-CH2O]-,1,-1,-31.01784,76,0,0.75
[M-H-C2H6]-,1,-1,-31.054226,77,0,0.75
[M-H-CH3OH]-,1,-1,-33.03349,78,0,0.75
[M-H-C3H4]-,1,-1,-41.038576,79,0,0.75
[M-H-C3H6O]-,1,-1,-59.04914,80,0,0.75
[M-H-CO2-C3H6]-,1,-1,-87.044056,81,0,0.75
[M-H-SO3]-,1,-1,-80.964092,82,0,0.75
[M-H-SO3-H2O]-,1,-1,-98.974657,83,0,0.75
[M-H-SO3-H2O-NH3]-,1,-1,-116.001206,84,0,0.75
[M-H-SO2]-,1,-1,-64.969177,85,0,0.75
[M-H-NH3-C3H4]-,1,-1,-58.065125,86,0,0.75
[M-H-H2O-CO2]-,1,-1,-63.007671,87,0,0.75
[M-H-H2O-H2O-C2H4O (McLafferty)]-,1,-1,-81.054621,88,0,0.75
[M-H-NH3-CO-CO]-,1,-1,-74.023655,89,0,0.75
[M-H-NH3-CO-COCH2]-,1,-1,-88.039305,90,0,0.75
[M-H-C8H6O]-,1,-1,-119.049141,91,0,0.75
[M-H-C8H6O-NH3]-,1,-1,-136.07569,92,0,0.75
[M-H-C8H6O-H2O]-,1,-1,-137.059706,93,0,0.75
[M-H-CO2CH2]-,1,-1,-59.012756,94,0,0.75
[M-H-CH3COOH]-,1,-1,-61.028406,95,0,0.75
[M-H-C5H8O]-,1,-1,-85.064791,96,0,0.75
[M-H-NH3-CO2-CH2O]-,1,-1,-92.03422,97,0,0.75
[M-H-NH3-CO2-NH3-H2O]-,1,-1,-97.060769,98,0,0.75
[M-H-NH3-CO2-C3H4O]-,1,-1,-118.04987,99,0,0.75
[M-H-NH3-CO2-C5H8]-,1,-1,-130.086255,100,0,0.75
[M-H-HCOOH-HCOOH]-,1,-1,-93.018235,101,0,0.75
[M-H-C2H4-CO2]-,1,-1,-73.028406,102,0,0.75
[M-H-C2H4-HCOOH]-,1,-1,-75.044056,103,0,0.75
[M-H-NH3-H2O-H2O]-,1,-1,-54.054955,104,0,0.75
[M-H-H2O-C2H2O2]-,1,-1,-77.02332,105,0,0.75
[M-H-COCH2-C4H8]-,1,-1,-99.080441,106,0,0.75
[M-H-NH3-NH3-C3H4]-,1,-1,-75.091675,107,0,0.75
[M-H-C2H4O2-CH3OH]-,1,-1,-93.054621,108,0,0.75
[M-H-C3H6O-CH3OH]-,1,-1,-91.075356,109,0,0.75
[M-H-NH3-CO-COCH2-C4H6O]-,1,-1,-158.08117,110,0,0.75
[M-H-CH2O]-,1,-1,-26.986541,111,0,0.75
[M-H-H2O-CH2O]-,1,-1,-49.028406,112,0,0.75
[M-H-C4H6-H2O]-,1,-1,-73.064791,113,0,0.75
[M-H-C4H6-C2H4]-,1,-1,-83.085527,114,0,0.75
[M-H-C4H6-NH3-H2O]-,1,-1,-90.09134,115,0,0.75
[M-H-C4H6-COCH2]-,1,-1,-97.064791,116,0,0.75
[M-H-C4H6-C4H6O]-,1,-1,-125.096092,117,0,0.75
[M-H-C3H4O-C4H6]-,1,-1,-111.080441,118,0,0.75
[M-H-C3H4O-C4H8O2]-,1,-1,-145.085921,119,0,0.75
[M-H-C4H8-C4H6]-,1,-1,-111.116827,120,0,0.75
[M-H-NH3-HCOOH-CH3OH]-,1,-1,-96.06552,121,0,0.75
[M-H-NH3-C2H6]-,1,-1,-48.080776,122,0,0.75
[M-H-NH3-C8H6O-CH2]-,1,-1,-150.091341,123,0,0.75
[M-H-NH3-C3H4-COCH2]-,1,-1,-100.07569,124,0,0.75
[M-H-C3H9N]-,1,-1,-60.080776,125,0,0.75
[M-H-C3H9N-C2H4O2]-,1,-1,-120.101905,126,0,0.75
[M-H-CH3]-,1,-1,-16.030751,127,0,0.5
[M-H-HCN]-,1,-1,-28.018175,128,0,0.5
[M-H+CH3CN]-,1,-1,40.019273,129,0,0.5
[M-2H-Li]-,1,-1,5.000902,130,0,0.25
[M-H+CH3OH]-,1,-1,31.018939,131,0,0.5
[M-H-HCOO-CH3]-,1,-1,-61.028406,132,0,0.5
[M-H-OH]-,1,-1,-16.018175,133,0,0.5
[M-H+CH3COOH]-,1,-1,59.013854,134,0,0.5
[M-H-C2H2O)]-,1,-1,-43.017841,135,0,0.5
[M-H-CH4N]-,1,-1,-31.04165,136,0,0.5
[M-H-C2H6O)]-,1,-1,-47.049141,137,0,0.25
[M-H-H2O-H2)]-,1,-1,-21.033491,138,0,0.25
[M-CH3COOH)]-,1,-1,-61.028406,139,0,0.25
[M-CH3OH)]-,1,-1,-33.033491,140,0,0.25
[M-H-CH-C-CO2H],1,-1,-60.020581,141,0,0.25
[M-H-TWO_gallate_O4],1,-1,-305.029196,142,0,0.25
[M-H-H2S],1,-1,-34.994997,143,0,0.25
[M-H-HCl],1,-1,-36.983953,144,0,0.25
[M-H-HBr-79],1,-1,-80.9334381,145,0,0.25
[M-H-HBr-81],1,-1,-82.931391,146,0,0.25
